,FIRE_NUMBER,FIRE_YEAR,RESPONSE_TYPE_DESC,IGNITION_DATE,FIRE_OUT_DATE,FIRE_CAUSE,FIRE_LABEL,FIRE_CENTRE,ZONE,FIRE_ID,FIRE_TYPE,INCIDENT_NAME,GEOGRAPHIC_DESCRIPTION,LATITUDE,LONGITUDE,CURRENT_SIZE,FEATURE_CODE,OBJECTID,SE_ANNO_CAD_DATA,fme_feature_type,geometry
23,G70044,1999,,,,Unknown,1999-G70044,4.0,7.0,4070044,Smoke Chase,,,56.0333,-120.65,,JA70003000,5021878,,WHSE_LAND_AND_NATURAL_RESOURCE.PROT_HISTORICAL_INCIDENTS_SP,POINT (-120.6499999996 56.0333333003)
24,G70078,1999,,19990616143000,19990616160000,Person,1999-G70078,4.0,7.0,4070078,Fire,,,56.0425,-120.6348,1.0,JA70003000,5021171,,WHSE_LAND_AND_NATURAL_RESOURCE.PROT_HISTORICAL_INCIDENTS_SP,POINT (-120.6348333005 56.0425000001)
25,G70059,1990,,19900922120000,19900924145900,Person,1990-G70059,4.0,7.0,4070059,Fire,,,56.125,-120.617,109.0,JA70003000,4999366,,WHSE_LAND_AND_NATURAL_RESOURCE.PROT_HISTORICAL_INCIDENTS_SP,POINT (-120.6169999995 56.1250000003)
26,G70092,1972,,19720603100000,19720603160000,Person,1972-G70092,4.0,7.0,4070092,Fire,,,56.054,-120.624,0.5,JA70003000,4953793,,WHSE_LAND_AND_NATURAL_RESOURCE.PROT_HISTORICAL_INCIDENTS_SP,POINT (-120.6239999996 56.0539999995)
27,G70029,1988,,19881008080000,19881008162900,Person,1988-G70029,4.0,7.0,4070029,Fire,,,56.009,-120.601,1.1,JA70003000,4994938,,WHSE_LAND_AND_NATURAL_RESOURCE.PROT_HISTORICAL_INCIDENTS_SP,POINT (-120.6010000007 56.0089999997)
28,GA0175,1971,,19710521110000,19710521150600,Person,1971-GA0175,4.0,10.0,4100175,Fire,,,56.09,-120.557,2.0,JA70003000,4951661,,WHSE_LAND_AND_NATURAL_RESOURCE.PROT_HISTORICAL_INCIDENTS_SP,POINT (-120.5570000005 56.0900000001)
29,G80144,1999,,,,Unknown,1999-G80144,4.0,8.0,4080144,Smoke Chase,,,56.1,-120.55,,JA70003000,5021902,,WHSE_LAND_AND_NATURAL_RESOURCE.PROT_HISTORICAL_INCIDENTS_SP,POINT (-120.5499999996 56.1000000001)
30,G70019,1980,,19800502180000,19800503100600,Person,1980-G70019,4.0,7.0,4070019,Fire,,,55.97,-121.243,6.0,JA70003000,4972803,,WHSE_LAND_AND_NATURAL_RESOURCE.PROT_HISTORICAL_INCIDENTS_SP,POINT (-121.2429999993 55.9700000001)
31,G00028,1969,,19690508,19690512080000,Person,1969-G00028,4.0,0.0,4000028,Fire,,,55.963,-121.023,3952.5,JA70003000,4946127,,WHSE_LAND_AND_NATURAL_RESOURCE.PROT_HISTORICAL_INCIDENTS_SP,POINT (-121.0229999994 55.9629999999)
32,G70079,1992,,19920915140000,19920917175900,Person,1992-G70079,4.0,7.0,4070079,Fire,,,55.973,-121.141,7.0,JA70003000,5006693,,WHSE_LAND_AND_NATURAL_RESOURCE.PROT_HISTORICAL_INCIDENTS_SP,POINT (-121.1410000003 55.9730000002)
33,G70374,1975,,19750928,19750928171200,Person,1975-G70374,4.0,7.0,4070374,Fire,,,55.999,-121.1,0.1,JA70003000,4961674,,WHSE_LAND_AND_NATURAL_RESOURCE.PROT_HISTORICAL_INCIDENTS_SP,POINT (-121.0999999994 55.9990000001)
34,G70506,1998,,19980903140000,19980904123000,Unknown,1998-G70506,4.0,7.0,4070506,Fire,,,56.0,-120.9833,0.01,JA70003000,5017740,,WHSE_LAND_AND_NATURAL_RESOURCE.PROT_HISTORICAL_INCIDENTS_SP,POINT (-120.9833332997 56)
35,GI0007,1977,,19770427140000,19770427150600,Person,1977-GI0007,4.0,18.0,4180007,Fire,,,56.054,-121.124,198.4,JA70003000,4964945,,WHSE_LAND_AND_NATURAL_RESOURCE.PROT_HISTORICAL_INCIDENTS_SP,POINT (-121.1240000008 56.0540000001)
36,G70034,1980,,19800505110000,19800505153600,Person,1980-G70034,4.0,7.0,4070034,Fire,,,56.075,-121.19,800.0,JA70003000,4973165,,WHSE_LAND_AND_NATURAL_RESOURCE.PROT_HISTORICAL_INCIDENTS_SP,POINT (-121.1900000007 56.0750000002)
37,G00354,1969,,19690807100000,19690815080600,Person,1969-G00354,4.0,0.0,4000354,Fire,,,56.097,-121.32,116.5,JA70003000,4945849,,WHSE_LAND_AND_NATURAL_RESOURCE.PROT_HISTORICAL_INCIDENTS_SP,POINT (-121.3200000008 56.0969999998)
38,G70016,1986,,19860803210000,19860817100500,Lightning,1986-G70016,4.0,7.0,4070016,Fire,,,56.104,-120.847,0.1,JA70003000,4988264,,WHSE_LAND_AND_NATURAL_RESOURCE.PROT_HISTORICAL_INCIDENTS_SP,POINT (-120.8470000002 56.1040000004)
39,GI0010,1977,,19770423100000,19770423130600,Person,1977-GI0010,4.0,18.0,4180010,Fire,,,56.119,-121.057,54.4,JA70003000,4964948,,WHSE_LAND_AND_NATURAL_RESOURCE.PROT_HISTORICAL_INCIDENTS_SP,POINT (-121.057 56.1190000003)
40,G70045,1981,,19810816120000,19810816172900,Person,1981-G70045,4.0,7.0,4070045,Fire,,,56.126,-121.163,0.1,JA70003000,4975873,,WHSE_LAND_AND_NATURAL_RESOURCE.PROT_HISTORICAL_INCIDENTS_SP,POINT (-121.1629999998 56.1259999997)
41,G70014,1992,,19920628143000,19920628173000,Person,1992-G70014,4.0,7.0,4070014,Fire,,,56.134,-121.138,1.0,JA70003000,5005869,,WHSE_LAND_AND_NATURAL_RESOURCE.PROT_HISTORICAL_INCIDENTS_SP,POINT (-121.1379999996 56.1340000002)
42,G00085,1969,,19690501,19690501000600,Unknown,1969-G00085,4.0,0.0,4000085,Fire,,,56.126,-120.874,722.3,JA70003000,4945215,,WHSE_LAND_AND_NATURAL_RESOURCE.PROT_HISTORICAL_INCIDENTS_SP,POINT (-120.8739999996 56.1260000002)
43,G70060,1990,,19900921130000,19900924095900,Person,1990-G70060,4.0,7.0,4070060,Fire,,,56.134,-120.905,0.2,JA70003000,4999367,,WHSE_LAND_AND_NATURAL_RESOURCE.PROT_HISTORICAL_INCIDENTS_SP,POINT (-120.9049999996 56.1339999996)
44,G70073,1991,,19910928150000,19911009115900,Person,1991-G70073,4.0,7.0,4070073,Fire,,,56.143,-120.952,0.1,JA70003000,5002637,,WHSE_LAND_AND_NATURAL_RESOURCE.PROT_HISTORICAL_INCIDENTS_SP,POINT (-120.9519999994 56.1429999996)
45,G70013,1991,,19910421200000,19910424085900,Person,1991-G70013,4.0,7.0,4070013,Fire,,,56.152,-120.84,212.0,JA70003000,5002722,,WHSE_LAND_AND_NATURAL_RESOURCE.PROT_HISTORICAL_INCIDENTS_SP,POINT (-120.8399999994 56.1520000003)
46,G70072,1991,,19911001150000,19911008154400,Person,1991-G70072,4.0,7.0,4070072,Fire,,,56.161,-120.872,0.2,JA70003000,5002636,,WHSE_LAND_AND_NATURAL_RESOURCE.PROT_HISTORICAL_INCIDENTS_SP,POINT (-120.8719999997 56.1609999997)
47,GI0011,1977,,19770423130000,19770423140000,Person,1977-GI0011,4.0,18.0,4180011,Fire,,,56.169,-120.874,3.5,JA70003000,4964949,,WHSE_LAND_AND_NATURAL_RESOURCE.PROT_HISTORICAL_INCIDENTS_SP,POINT (-120.8740000007 56.1690000003)
48,G00036,1969,,19690511130000,19690512001200,Person,1969-G00036,4.0,0.0,4000036,Fire,,,55.963,-121.376,207.1,JA70003000,4946135,,WHSE_LAND_AND_NATURAL_RESOURCE.PROT_HISTORICAL_INCIDENTS_SP,POINT (-121.3760000003 55.9629999996)
49,G70006,1993,,19930602160000,19930602185800,Person,1993-G70006,4.0,7.0,4070006,Fire,,,55.973,-121.364,4.0,JA70003000,5008571,,WHSE_LAND_AND_NATURAL_RESOURCE.PROT_HISTORICAL_INCIDENTS_SP,POINT (-121.3639999999 55.9729999998)
50,G70030,1981,,19810706100000,19810810184100,Person,1981-G70030,4.0,7.0,4070030,Fire,,,55.937,-121.325,65.0,JA70003000,4975575,,WHSE_LAND_AND_NATURAL_RESOURCE.PROT_HISTORICAL_INCIDENTS_SP,POINT (-121.3249999993 55.9369999999)
51,G00037,1969,,19690510110000,19690511200600,Person,1969-G00037,4.0,0.0,4000037,Fire,,,55.934,-121.325,304.3,JA70003000,4946136,,WHSE_LAND_AND_NATURAL_RESOURCE.PROT_HISTORICAL_INCIDENTS_SP,POINT (-121.3249999994 55.9339999997)
52,G00133,1969,,19690608120000,19690609080600,Unknown,1969-G00133,4.0,0.0,4000133,Fire,,,55.934,-121.325,0.8,JA70003000,4944541,,WHSE_LAND_AND_NATURAL_RESOURCE.PROT_HISTORICAL_INCIDENTS_SP,POINT (-121.3249999994 55.9339999997)
53,GI0023,1976,,19760428080000,19760429093600,Person,1976-GI0023,4.0,18.0,4180023,Fire,,,55.941,-121.286,256.0,JA70003000,4963919,,WHSE_LAND_AND_NATURAL_RESOURCE.PROT_HISTORICAL_INCIDENTS_SP,POINT (-121.2860000004 55.9410000005)
54,G70002,1988,,19880504120000,19880504193000,Person,1988-G70002,4.0,7.0,4070002,Fire,,,55.955,-121.252,82.0,JA70003000,4993698,,WHSE_LAND_AND_NATURAL_RESOURCE.PROT_HISTORICAL_INCIDENTS_SP,POINT (-121.2520000004 55.955)
55,G70025,1990,,19900810080000,19900810205900,Person,1990-G70025,4.0,7.0,4070025,Fire,,,55.938,-121.252,0.4,JA70003000,4999750,,WHSE_LAND_AND_NATURAL_RESOURCE.PROT_HISTORICAL_INCIDENTS_SP,POINT (-121.2519999995 55.9380000002)
56,G70006,1985,,19850517120000,19850606181200,Person,1985-G70006,4.0,7.0,4070006,Fire,,,55.97,-121.243,2078.0,JA70003000,4985254,,WHSE_LAND_AND_NATURAL_RESOURCE.PROT_HISTORICAL_INCIDENTS_SP,POINT (-121.2429999993 55.9700000001)
57,G70046,1985,,19850707050000,19850711132900,Lightning,1985-G70046,4.0,7.0,4070046,Fire,,,55.948,-121.243,0.1,JA70003000,4986821,,WHSE_LAND_AND_NATURAL_RESOURCE.PROT_HISTORICAL_INCIDENTS_SP,POINT (-121.2430000002 55.948)
58,G70063,1985,,19850724200000,19850725103400,Lightning,1985-G70063,4.0,7.0,4070063,Fire,,,55.955,-121.204,0.2,JA70003000,4987052,,WHSE_LAND_AND_NATURAL_RESOURCE.PROT_HISTORICAL_INCIDENTS_SP,POINT (-121.2039999995 55.9549999996)
59,G70006,1974,,19740522150000,19740523140500,Lightning,1974-G70006,4.0,7.0,4070006,Fire,,,55.963,-121.178,25.0,JA70003000,4958692,,WHSE_LAND_AND_NATURAL_RESOURCE.PROT_HISTORICAL_INCIDENTS_SP,POINT (-121.1779999997 55.9630000001)
60,G70009,1985,,19850519150000,19850520180600,Person,1985-G70009,4.0,7.0,4070009,Fire,,,55.951,-121.178,42.6,JA70003000,4985257,,WHSE_LAND_AND_NATURAL_RESOURCE.PROT_HISTORICAL_INCIDENTS_SP,POINT (-121.1780000006 55.951)
61,G70062,1982,,19820930080000,19821001100600,Person,1982-G70062,4.0,7.0,4070062,Fire,,,55.934,-121.178,0.1,JA70003000,4978592,,WHSE_LAND_AND_NATURAL_RESOURCE.PROT_HISTORICAL_INCIDENTS_SP,POINT (-121.1780000007 55.9340000002)
62,G00147,1969,,19690614,19690620120600,Person,1969-G00147,4.0,0.0,4000147,Fire,,,55.934,-121.075,9.3,JA70003000,4944607,,WHSE_LAND_AND_NATURAL_RESOURCE.PROT_HISTORICAL_INCIDENTS_SP,POINT (-121.0749999999 55.9340000002)
63,G70056,1999,,19990524151500,19990524183000,Person,1999-G70056,4.0,7.0,4070056,Fire,,,55.937,-121.066,3.0,JA70003000,5021169,,WHSE_LAND_AND_NATURAL_RESOURCE.PROT_HISTORICAL_INCIDENTS_SP,POINT (-121.0660332995 55.9369500003)
64,G70017,1987,,19870527093000,19870527190300,Person,1987-G70017,4.0,7.0,4070017,Fire,,,55.929,-121.014,18.5,JA70003000,4992400,,WHSE_LAND_AND_NATURAL_RESOURCE.PROT_HISTORICAL_INCIDENTS_SP,POINT (-121.0139999994 55.9289999998)
65,G70054,1976,,19760429140000,19760501183600,Person,1976-G70054,4.0,7.0,4070054,Fire,,,55.955,-120.915,12.0,JA70003000,4964054,,WHSE_LAND_AND_NATURAL_RESOURCE.PROT_HISTORICAL_INCIDENTS_SP,POINT (-120.9149999998 55.9549999996)
66,G70066,1985,,19850731160000,19850803182900,Lightning,1985-G70066,4.0,7.0,4070066,Fire,,,55.905,-121.139,0.1,JA70003000,4987055,,WHSE_LAND_AND_NATURAL_RESOURCE.PROT_HISTORICAL_INCIDENTS_SP,POINT (-121.1389999999 55.9049999996)
67,G70007,1976,,19760426,19760427054800,Person,1976-G70007,4.0,7.0,4070007,Fire,,,55.833,-121.139,301.3,JA70003000,4964050,,WHSE_LAND_AND_NATURAL_RESOURCE.PROT_HISTORICAL_INCIDENTS_SP,POINT (-121.1389999997 55.8330000002)
68,G70018,1986,,19860820131500,19860821095700,Person,1986-G70018,4.0,7.0,4070018,Fire,,,55.876,-121.126,0.1,JA70003000,4988266,,WHSE_LAND_AND_NATURAL_RESOURCE.PROT_HISTORICAL_INCIDENTS_SP,POINT (-121.1259999994 55.8759999996)
69,G70018,1998,,19980430150000,19980430230000,Person,1998-G70018,4.0,7.0,4070018,Fire,,,55.85,-121.0667,30.0,JA70003000,5017621,,WHSE_LAND_AND_NATURAL_RESOURCE.PROT_HISTORICAL_INCIDENTS_SP,POINT (-121.0666999993 55.8500000003)
70,G70001,1976,,19751231,19760321020000,Person,1976-G70001,4.0,7.0,4070001,Fire,,,55.912,-120.993,0.3,JA70003000,4964048,,WHSE_LAND_AND_NATURAL_RESOURCE.PROT_HISTORICAL_INCIDENTS_SP,POINT (-120.9930000008 55.9119999998)
71,G70012,1971,,19710501,19710501010000,Unknown,1971-G70012,4.0,7.0,4070012,Fire,,,55.905,-120.993,399.8,JA70003000,4952581,,WHSE_LAND_AND_NATURAL_RESOURCE.PROT_HISTORICAL_INCIDENTS_SP,POINT (-120.9929999998 55.9050000004)
72,G70039,1980,,19800510203000,19800511051100,Person,1980-G70039,4.0,7.0,4070039,Fire,,,55.89,-120.993,16.2,JA70003000,4973170,,WHSE_LAND_AND_NATURAL_RESOURCE.PROT_HISTORICAL_INCIDENTS_SP,POINT (-120.9930000001 55.8899999997)
73,G70158,1971,,19710511,19710511000600,Person,1971-G70158,4.0,7.0,4070158,Fire,,,55.847,-120.993,6282.3,JA70003000,4951831,,WHSE_LAND_AND_NATURAL_RESOURCE.PROT_HISTORICAL_INCIDENTS_SP,POINT (-120.9929999993 55.8469999999)
74,G70012,1986,,19860731120000,19860801165900,Unknown,1986-G70012,4.0,7.0,4070012,Fire,,,55.919,-120.98,0.1,JA70003000,4988260,,WHSE_LAND_AND_NATURAL_RESOURCE.PROT_HISTORICAL_INCIDENTS_SP,POINT (-120.9800000007 55.9189999999)
75,G70001,1983,,19830413150000,19830424171100,Unknown,1983-G70001,4.0,7.0,4070001,Fire,,,55.898,-120.98,26.0,JA70003000,4980698,,WHSE_LAND_AND_NATURAL_RESOURCE.PROT_HISTORICAL_INCIDENTS_SP,POINT (-120.9800000001 55.8980000002)
76,G70002,1989,,19890425120000,19890425190000,Person,1989-G70002,4.0,7.0,4070002,Fire,,,55.839,-120.986,22.0,JA70003000,4997132,,WHSE_LAND_AND_NATURAL_RESOURCE.PROT_HISTORICAL_INCIDENTS_SP,POINT (-120.9859999993 55.8390000002)
77,G70040,1980,,19800510203000,19800511061100,Person,1980-G70040,4.0,7.0,4070040,Fire,,,55.869,-120.98,0.6,JA70003000,4973171,,WHSE_LAND_AND_NATURAL_RESOURCE.PROT_HISTORICAL_INCIDENTS_SP,POINT (-120.98 55.8689999998)
78,G70036,1980,,19800423100900,19800512200900,Person,1980-G70036,4.0,7.0,4070036,Fire,,,55.898,-120.967,2853.0,JA70003000,4973167,,WHSE_LAND_AND_NATURAL_RESOURCE.PROT_HISTORICAL_INCIDENTS_SP,POINT (-120.9670000002 55.8980000001)
79,G70054,1984,,19840818080000,19840818144700,Lightning,1984-G70054,4.0,7.0,4070054,Fire,,,55.919,-120.954,0.1,JA70003000,4983675,,WHSE_LAND_AND_NATURAL_RESOURCE.PROT_HISTORICAL_INCIDENTS_SP,POINT (-120.9540000004 55.919)
80,G70020,1983,,19830531153500,19830602201000,Person,1983-G70020,4.0,7.0,4070020,Fire,,,55.898,-120.902,4.0,JA70003000,4980926,,WHSE_LAND_AND_NATURAL_RESOURCE.PROT_HISTORICAL_INCIDENTS_SP,POINT (-120.9020000007 55.8980000002)
81,G70328,1975,,19750817,19750817174700,Person,1975-G70328,4.0,7.0,4070328,Fire,,,55.883,-120.902,6.0,JA70003000,4962493,,WHSE_LAND_AND_NATURAL_RESOURCE.PROT_HISTORICAL_INCIDENTS_SP,POINT (-120.9019999998 55.883)
82,G70008,1984,,19840716180000,19840720160600,Person,1984-G70008,4.0,7.0,4070008,Fire,,,55.912,-120.889,0.1,JA70003000,4983349,,WHSE_LAND_AND_NATURAL_RESOURCE.PROT_HISTORICAL_INCIDENTS_SP,POINT (-120.8889999996 55.9119999997)
83,G70013,1983,,19830528163000,19830531183600,Person,1983-G70013,4.0,7.0,4070013,Fire,,,55.883,-120.863,1062.0,JA70003000,4980821,,WHSE_LAND_AND_NATURAL_RESOURCE.PROT_HISTORICAL_INCIDENTS_SP,POINT (-120.8630000002 55.8830000001)
84,G00089,1969,,19690522150000,19690522203600,Unknown,1969-G00089,4.0,0.0,4000089,Fire,,,55.934,-121.376,40.4,JA70003000,4945219,,WHSE_LAND_AND_NATURAL_RESOURCE.PROT_HISTORICAL_INCIDENTS_SP,POINT (-121.3760000004 55.9339999998)
85,G70030,1991,,19910519130000,19910519165700,Person,1991-G70030,4.0,7.0,4070030,Fire,,,55.929,-121.364,0.1,JA70003000,5002155,,WHSE_LAND_AND_NATURAL_RESOURCE.PROT_HISTORICAL_INCIDENTS_SP,POINT (-121.364 55.9290000002)
86,G70007,1981,,19810711130000,19810711192900,Unknown,1981-G70007,4.0,7.0,4070007,Fire,,,55.912,-121.35,0.1,JA70003000,4975242,,WHSE_LAND_AND_NATURAL_RESOURCE.PROT_HISTORICAL_INCIDENTS_SP,POINT (-121.3500000004 55.912)
87,G70007,1987,,19870427150000,19870428075900,Person,1987-G70007,4.0,7.0,4070007,Fire,,,55.911,-121.332,3.5,JA70003000,4992213,,WHSE_LAND_AND_NATURAL_RESOURCE.PROT_HISTORICAL_INCIDENTS_SP,POINT (-121.3320000001 55.9110000001)
88,G00116,1969,,19690602150000,19690603190600,Unknown,1969-G00116,4.0,0.0,4000116,Fire,,,55.934,-121.325,2.0,JA70003000,4945066,,WHSE_LAND_AND_NATURAL_RESOURCE.PROT_HISTORICAL_INCIDENTS_SP,POINT (-121.3249999994 55.9339999997)
89,G70043,1981,,19810815180000,19810816012900,Person,1981-G70043,4.0,7.0,4070043,Fire,,,55.833,-121.312,0.1,JA70003000,4975745,,WHSE_LAND_AND_NATURAL_RESOURCE.PROT_HISTORICAL_INCIDENTS_SP,POINT (-121.3119999995 55.833)
90,G70042,1981,,19810815180000,19810816005900,Person,1981-G70042,4.0,7.0,4070042,Fire,,,55.833,-121.299,0.2,JA70003000,4975743,,WHSE_LAND_AND_NATURAL_RESOURCE.PROT_HISTORICAL_INCIDENTS_SP,POINT (-121.2990000001 55.8330000004)
91,GI0169,1973,,19730801,19730801180000,Person,1973-GI0169,4.0,18.0,4180169,Fire,,,55.898,-121.286,0.8,JA70003000,4957214,,WHSE_LAND_AND_NATURAL_RESOURCE.PROT_HISTORICAL_INCIDENTS_SP,POINT (-121.2859999993 55.8980000001)
92,G70011,1991,,19910421100000,19910422095900,Person,1991-G70011,4.0,7.0,4070011,Fire,,,55.875,-121.284,71.0,JA70003000,5002720,,WHSE_LAND_AND_NATURAL_RESOURCE.PROT_HISTORICAL_INCIDENTS_SP,POINT (-121.2839999995 55.8750000003)
93,C10035,1994,,19940726143000,19940730085900,Lightning,1994-C10035,7.0,1.0,7010035,Fire,,,55.924,-121.275,0.8,JA70003000,5010905,,WHSE_LAND_AND_NATURAL_RESOURCE.PROT_HISTORICAL_INCIDENTS_SP,POINT (-121.2750000004 55.9240000004)
94,G70005,1993,,19930529090000,19930529104400,Lightning,1993-G70005,4.0,7.0,4070005,Fire,,,55.929,-121.268,1.5,JA70003000,5008570,,WHSE_LAND_AND_NATURAL_RESOURCE.PROT_HISTORICAL_INCIDENTS_SP,POINT (-121.2679999996 55.9289999998)
